Unnamed: 0,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 63
Australia,10.035402,10.104177,10.211234,10.520312,10.820457999999999,11.103934,11.475125,11.844307,12.26716,12.961822000000002,13.504945,14.656282000000001,16.491755,22.294316,26.539536000000002,27.580949,29.044729000000004,28.869888999999997,32.222144,34.489816,38.637222,42.82009,42.32114,40.831435,42.038368,35.399539000000004,36.188261,40.484282,48.937924,53.431658999999996,55.296445000000006,56.353339999999996,53.524573,50.073904999999996,54.530651,56.906154,61.308883,58.923970999999995,50.11766,52.104265000000005,48.754564,44.965751,48.766888,59.999846,70.522922,76.363204,79.274864,91.961537,96.467285,91.64312,113.478386,133.769121,133.333911,125.943721,118.107674,97.826217,97.787215,104.419625,104.095681,100.01745799999999,100.0,114.937667,Australia
Austria,6.905132999999999,7.247554000000001,7.554886,7.819162,8.069454,8.517581,8.821726,9.123801,9.412129,9.738296,10.267889,11.322537,13.131011,16.737621999999998,19.211051,21.944621,22.5099,25.708075,30.987610999999998,35.065369000000004,38.24848,33.170389,32.620602999999996,32.046102,30.205098000000003,30.079921,41.954625,51.898999,53.966413,51.846119,62.143899999999995,62.746976,68.94245599999999,66.933504,69.90599,80.60820199999999,77.580994,68.142289,67.478134,64.834392,56.809304000000004,56.257566000000004,59.873727,72.710116,81.297757,83.38806,85.78328499999999,95.592837,102.658316,100.97851399999999,96.874263,103.551399,97.661566,102.510552,104.651205,89.47834999999999,90.844629,93.514499,99.656221,96.040692,100.0,105.428248,Austria
Belgium,9.923127,10.037909,10.222935,10.511587,11.026835,11.627471,12.061668000000001,12.483147,12.749615,13.210632,13.965781999999999,15.069578,17.694989,21.401971,24.093813,28.617492,29.332272999999997,33.959855,40.350752,45.314956,47.266288,39.14423,34.219822,32.300876,30.147122999999997,30.657985999999998,41.913304000000004,50.997487,52.914249999999996,51.754339,62.726571,63.134049000000005,69.38986200000001,67.142531,70.777964,81.268291,77.758978,67.868313,68.06767,65.646276,57.92499599999999,57.405939,61.400777,74.971692,84.020727,85.802748,88.616299,98.513589,105.781053,102.672462,99.502068,106.342721,100.233287,104.84990300000001,105.809629,89.639253,91.078085,94.54363000000001,100.48848399999999,96.985534,100.0,107.23988600000001,Belgium
Canada,14.674369,14.150037,13.586618,13.751893,14.140283,14.68367,15.420748000000001,16.079744,16.752587,17.572836,18.968906999999998,20.592485999999997,22.211029,24.125711,28.415393,30.284156,34.138701,33.802811,33.659867,36.069176,39.684354,42.694883,45.173787999999995,47.825488,47.119212,46.168447,46.79851,51.377485,57.854717,62.984586,66.069446,69.333114,66.691731,63.292824,60.655059,61.722603,63.20033900000001,62.947193999999996,58.660835,59.69646899999999,62.301159,60.745312,60.651822,70.225259,78.037032,86.412047,94.685063,103.24873400000001,107.265587,98.749873,112.487288,120.95212500000001,121.18179,119.57753,113.68198899999999,97.38194999999999,94.629678,99.09800800000001,100.994504,100.292665,100.0,114.929296,Canada
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.936200999999997,35.911936,42.929971,46.168516,42.819686000000004,46.179187999999996,44.410606,40.492298,43.16027,51.497991,60.701707000000006,69.14274,74.24095200000001,79.254761,91.346378,108.99797899999999,102.14688199999999,100.218357,108.18306,99.266891,100.51796200000001,97.150964,82.816274,84.283275,89.230207,98.49337200000001,96.96347,100.0,112.160832,Czech Republique
Denmark,6.0662590000000005,6.315144,9.739491000000001,8.470529,6.753207999999999,10.892381,10.01825,10.346466999999999,10.202912999999999,10.883178000000001,11.897246,12.943251,15.059638,19.265699,21.633315,25.992789,27.006142999999998,29.614349,35.135074,39.410689999999995,40.027318,35.071633000000006,33.005562,32.297711,30.222259,30.807153999999997,41.283228,51.155556999999995,54.028286,52.212145,63.301584,62.886931000000004,67.6803,63.412227,65.640349,75.457206,74.388476,66.626554,66.52550099999999,64.894734,57.693476,57.491234000000006,62.100494,75.554037,84.72285000000001,87.05842799999999,89.662166,100.283837,109.993254,106.867299,104.91537,110.739092,104.954265,109.147215,110.242785,92.50062799999999,92.657967,95.59202599999999,100.53169500000001,95.87428,100.0,105.50589399999998,Denmark
Finland,9.604195,10.117189,10.51926,10.992308000000001,11.785093,12.378226,12.959378,13.06031,11.927181000000001,12.428953,12.892584000000001,13.884701999999999,15.219304000000001,18.947611000000002,23.537328,27.365983,29.413420000000002,30.945263,32.715704,37.496393,43.033435,41.511018,40.474928999999996,37.911268,38.12382,38.934785,49.859309,60.302330999999995,68.328988,70.712572,83.445919,80.083208,72.822143,58.11042199999999,64.82605,80.782813,76.75904799999999,69.40097200000001,69.436558,67.127005,59.021557,59.24996,62.940089,75.598858,83.632457,84.44205,86.063223,96.447185,104.706802,102.883945,98.172515,105.762581,100.67732199999999,106.652174,108.321461,92.02511799999999,91.820383,94.366264,100.77797,97.000405,100.0,106.57042000000001,Finland
France,11.028868,11.372102,11.975747,12.616225,13.1301,13.522034999999999,13.889973,14.291933,14.834976,15.166471000000001,15.045306,15.990020999999999,18.645611000000002,22.787165,23.595826,30.115091,29.919191,31.652727000000002,37.664915,44.078273,49.562407,43.025946999999995,39.920944000000006,37.70655,35.204405,36.124141,49.236494,58.116888,60.522785999999996,58.37655,70.15965,69.50462200000001,75.538044,71.75303100000001,73.844025,83.04622699999999,82.112194,72.618383,72.53112,69.66102199999999,61.180285999999995,60.641690000000004,65.131146,79.537081,88.884655,90.632826,93.512036,104.586908,112.812264,108.991277,104.776745,111.03053899999999,103.82986700000001,108.080313,108.630682,91.857016,92.05048599999999,94.323286,99.736296,95.808546,100.0,104.55508,France
Germany,12.586063,13.674254,14.281888,14.764199,15.258158,15.745753,16.270405,16.578557,16.937343,17.944024,13.867241,15.631471999999999,17.838556999999998,22.635453,25.081184,27.860923999999997,28.116873999999996,31.439256,37.636629,43.011234,45.745214000000004,38.330089,37.320781,36.464881,33.361929,32.943491,45.990812,56.284711,58.582241,56.296893999999995,67.722678,68.00653,76.052514,74.642438,77.59896499999999,89.62718100000001,85.86020599999999,74.708773,74.134805,71.29869,61.374981,60.419107000000004,64.45764899999999,78.297178,87.0518,87.443602,88.6635,98.404866,104.628888,102.874729,98.474046,104.49417199999999,98.035373,103.25183200000001,105.11226300000001,89.511459,90.420793,93.56295,99.890293,96.697846,100.0,106.928637,Germany
Greece,11.483198999999999,11.609091000000001,12.153578,12.288551,12.707064,13.22528,13.876152,14.177237000000002,14.386658999999998,14.844333,15.408316999999998,15.866725,16.667456,20.397338,24.745804,26.224736,26.770619,30.195259000000004,34.451982,41.040244,42.521048,39.843405,42.082984,38.486958,36.611324,35.560922,41.844848,49.759907,55.405395,55.443482,68.546347,71.35935500000001,78.305054,74.504033,78.330574,89.961006,92.396489,85.73673600000001,77.915523,79.175597,65.110434,63.927797,69.526172,86.229838,97.72583999999999,99.952461,104.471629,117.83888,129.55602,128.29601100000002,121.810113,129.09987,119.014353,120.418321,118.005337,98.368691,97.49676699999999,99.670753,104.18014,99.060998,100.0,106.515668,Greece
Hungary,12.424414,12.716859,13.203285000000001,13.567034,13.891734,14.203204,14.527801000000002,14.64522,15.224101000000001,15.647907,15.924013,16.955294000000002,18.808342,21.394961000000002,23.706898000000002,26.967648999999998,27.919240000000002,30.278311000000002,34.624791,39.158489,42.486701,41.312667,40.485912,40.408319,39.573166,39.859635,48.524116,55.905393999999994,60.082159999999995,60.085725000000004,66.277332,39.612713,45.561517,47.488799,49.613124,52.573833,52.820275,51.935801000000005,51.487945,50.363994999999996,46.265252000000004,50.610409000000004,60.879797,73.745936,85.904614,89.498931,87.852202,106.122933,116.43218200000001,105.780816,105.20235600000001,110.88670499999999,101.801306,105.249617,104.97197599999998,89.893397,90.394512,96.320489,102.544963,99.898937,100.0,108.98198500000001,
Iceland,9.487557,9.739249,10.067263,10.905689,12.67306,14.272501000000002,15.765075000000001,15.773442,13.013751000000001,10.883953,12.672623,14.302412,16.949766,21.157704,27.341996,24.903302999999998,27.860899,33.835412999999996,36.328016000000005,39.225492,44.167964999999995,43.754054,39.395529,34.559055,34.349081999999996,34.653633,43.630371000000004,55.614766,61.526443,56.983841,64.20344300000001,68.728968,72.92131400000001,63.254257,62.724089000000006,69.814945,69.480311,67.090378,70.051374,71.245596,68.083139,59.743511999999996,67.454427,80.953067,90.812287,104.48845399999999,102.08795500000001,116.192632,91.798728,74.993017,80.493545,87.407974,83.868437,87.728442,95.64157800000001,89.736713,100.183392,114.365629,115.831859,106.95507799999999,100.0,111.19982900000001,Iceland
Ireland,7.808706,7.9931470000000004,8.397851000000001,8.59979,9.401558999999999,9.833533,10.261682,10.405405,9.462551,10.310005,11.340108,12.783337,14.816593000000001,16.749003000000002,16.966617,19.290792,18.947116,20.83971,25.326151000000003,30.722426000000002,35.37764,32.526340999999995,33.070693,32.044160999999995,29.725877,30.510340000000003,41.177919,46.719664,49.381847,48.505237,56.194016000000005,55.651015,60.516399,54.743549,56.801714999999994,62.76106299999999,64.391555,63.596940999999994,63.749826,63.416318000000004,58.829122,60.95840999999999,67.537411,83.73575199999999,92.890243,95.734896,99.72809500000001,110.07890499999999,115.633874,106.573476,98.669816,105.336039,99.45108499999999,103.459182,103.60902,93.264022,93.045647,95.494597,100.784882,99.48878599999999,100.0,103.11424,Ireland
Italy,8.002324,8.222275,8.702435,9.426287,9.99152,10.404054,10.64311,10.94547,11.147865,11.527379999999999,12.320697,13.361865,15.018844000000001,17.00635,18.285963,21.219097,19.619400000000002,21.959396,25.914241999999998,30.691329,36.136227999999996,32.305843,31.904825999999996,32.702864,31.318822,31.457446,43.300545,52.769273999999996,56.074963,56.510875000000006,70.112343,72.853027,76.56680300000001,62.350072,62.916835000000006,65.35444700000001,72.160495,67.058928,67.34938299999999,65.340264,57.529534000000005,57.599864000000004,62.599225999999994,77.408598,87.396476,89.186491,91.98299899999999,102.80573,110.92263899999999,108.887226,104.020785,110.953931,104.155495,108.81990800000001,109.741145,92.603839,93.36434799999999,95.864265,101.439325,97.096257,100.0,105.29763000000001,Italy
Japan,7.412563,7.977503,8.34304,8.760236,9.255418,9.757774,10.256339,10.822874,11.504494,12.145358,12.987481,14.054161,16.812640000000002,21.496223,24.162907999999998,25.460935000000003,27.527646999999998,32.449875,43.317085,42.722179,43.555132,46.190244,41.542618,43.970002,44.717796,44.978017,64.821543,75.455045,85.45714,81.09281299999999,79.034772,87.304415,94.15102,107.743812,117.366854,126.802458,109.18117199999999,98.668066,91.18144099999999,103.490128,107.885096,94.681805,90.605655,96.302401,102.089808,99.038488,92.87065199999999,91.119729,102.763896,113.22788,118.237414,128.07276000000002,126.93437999999999,103.443799,96.983134,86.627693,96.745479,93.760514,95.246681,97.084703,100.0,96.669438,Japan
Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99625,0.0,0.0,0.0,0.0,21.066267,0.0,0.0,0.0,0.0,41.93143,0.0,0.0,0.0,0.0,41.312129,42.867104,47.98844,58.096698999999994,67.218844,69.94412100000001,73.71400799999999,74.680629,77.136362,83.232792,92.87877300000001,92.729796,81.61806700000001,57.87240500000001,67.458923,71.529698,64.85165699999999,68.923157,74.911862,80.32443099999999,90.74936,97.434373,102.19115400000001,87.979485,79.43297,89.975519,95.0898,94.687265,98.386048,103.197731,99.120345,98.538544,103.39749300000001,106.772333,99.960587,100.0,105.133237,Korea
Luxembourg,7.34877,7.0801039999999995,7.370744,7.586887000000001,8.048091,8.291529,8.584082,8.646287,9.034928,9.47547,11.011052000000001,11.16021,13.03438,16.520972,19.329031,20.294229,21.698408,23.647721,28.288151,32.330462999999995,34.963504,29.518103,26.582140999999996,25.377978000000002,23.454172,23.501631,31.22934,37.392131,39.028202,37.889849,45.789165999999994,45.614543000000005,50.282016,49.579664,53.005451,61.529831,60.80073900000001,54.06431499999999,52.181588,52.407543000000004,47.424017,46.450116,49.584227,60.747220999999996,68.850011,72.204994,77.613153,86.26652299999999,96.919854,94.405622,93.988612,102.06232299999999,97.367639,102.875421,105.661979,90.32705899999999,89.01515500000001,92.706879,98.766944,94.221572,100.0,108.570393,Luxembourg
