iso_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DNK,79.115,81.107,83.011,84.242,86.008,88.504,90.342,92.541,96.366,96.875,100.001,100.641,103.028,103.942,105.018,105.472,105.739,106.995,107.609,108.408,110.625
DJI,63.903,65.217,65.217,66.53,68.718,70.907,73.384,77.034,84.475,85.788,89.179,93.706,97.657,100,101.332,103.845,104,104.58,104.96,108.444,111.565
DMA,95.807,97.803,98.577,95.502,99.123,97.687,100,101.525,103.057,111.305,111.635,113.517,111.291,115.653,115.577,122.49,127.128,127.505,128.766,130.704,130.319
DOM,37.493,39.758,42.509,56.734,82.358,87.119,92.905,100,110.392,114.253,120.473,130.184,136.821,143.241,149.431,153.125,156.178,162.708,169.414,173.693,181.477
ECU,48.556,62.353,69.889,77.292,80.586,86.818,93.764,100,113.847,114.594,123.148,130.122,136.608,140.837,145.105,141.49,144.181,146.987,149.661,150.402,145.387
EGY,20.898,21.291,21.796,23.273,25.989,27.604,29.635,33.368,37.44,41.628,45.835,51.181,58.159,62.543,69.577,76.487,81.264,100,121.426,137.968,145.675
SLV,67.752,69.999,71.054,73.161,75.149,78.355,81.746,85.327,88.339,88.289,90.626,95.982,98.429,98.999,100,101.313,101.972,102.975,105.112,106.225,105.817
GNQ,51.365,47.824,46.853,62.25,68.603,87.166,100,103.038,123.48,97.759,122.108,142.921,149.859,148.252,146.363,116.809,109.467,123.415,137.205,127.247,114.45
ERI,23.79,27.377,31.798,38.753,48.364,52.051,57.981,62.207,69.85,87.504,96.764,100,107.173,103.928,105.574,102.815,103.205,98.658,91.945,87.498,92.674
EST,49.052,52.369,54.89,57.029,59.695,63.222,68.926,77.484,82.831,82.686,84.21,88.757,92.328,96.061,98.894,100,102.27,105.453,109.862,113.407,112.903
SWZ,49.893,54.355,59.2,62.755,65.185,69.459,72.266,75.89,83.801,91.989,94.93,100,108.757,115.862,124.131,131.046,140.503,143.986,148.035,151.452,157.672
ETH,18.367,17.465,16.817,18.951,20.044,21.861,24.23,28.31,36.746,45.088,46.603,55.832,74.523,78.661,87.267,96.716,108.19,114.737,127.883,143.438,169.606
FJI,55.738,57.668,59.582,64.401,65.78,71.689,74.325,76.559,77.623,78.713,82.007,89.713,92.921,96.286,100,102.53,105.231,107.018,108.544,111.121,108.232
FIN,77.198,79.748,80.501,80.654,81.14,81.894,82.648,84.923,87.503,89.055,89.343,91.687,94.413,96.829,98.409,100,100.087,100.907,102.856,104.416,106.128
FRA,81.074,82.702,84.412,85.982,87.377,89.069,90.989,93.315,95.524,95.587,96.61,97.526,98.659,99.426,100,101.138,101.667,102.197,103.172,104.437,106.782
GAB,106.682,100,100.417,100.737,108.098,132.666,143.927,151.98,174.031,147.145,171.603,193.364,187.676,176.322,174.619,159.03,152.24,158.059,169.391,171.982,159.183
GMB,36.5,42.04,48.809,62.171,69.764,72.634,73.581,76.829,78.731,82.285,86.929,90.904,94.399,100,105.212,115.439,124.467,129.348,138.34,148.23,158.903
GEO,42.846,45.151,47.824,49.461,53.632,57.889,62.779,68.721,75.315,73.706,81.866,89.034,89.448,90.652,94.489,100,102.619,111.333,116.188,122.193,129.243
DEU,82.53,83.603,84.757,85.88,86.83,87.187,87.536,89.08,89.891,91.549,92.135,93.13,94.516,96.373,98.175,100,101.328,102.697,104.415,106.704,108.406
GHA,11.709,15.81,19.414,24.894,28.372,32.6,36.565,42.257,49.643,56.703,66.163,76.286,87.964,100,122.164,138.764,159.925,176.481,194.5,212.372,230.735
GRC,77.033,79.711,82.38,85.225,87.835,89.802,92.942,96.123,100.298,102.876,103.628,104.622,104.334,102.279,100.288,100,99.423,99.808,99.705,99.895,98.437
GRD,89.213,91.126,91.465,91.395,93.251,95.55,100,102.32,110.349,110.338,110.868,111.117,115.479,118.855,119.776,123.08,126.335,128.263,127.868,129.366,128.656
GTM,52.585,56.568,60.025,62.533,65.79,69.179,72.481,77.191,84.301,85.326,89.543,94.684,97.16,100,102.86,105.156,108.003,109.886,111.236,115.032,117.719
GIN,24.402,24.772,25.216,29.602,34.436,48.823,63.022,71.807,83.796,85.641,100,108.998,117.556,126.827,130.32,134.014,141.598,156.393,172.09,188.045,208.49
GNB,66.668,69.176,71.511,71.103,67.206,69.299,66.358,70.333,79.31,76.276,80.254,87.038,87.014,86.203,87.321,100,102.841,113.532,107.586,103.872,103.976
GUY,46.115,46.525,48.418,50.729,53.156,56.462,59.658,66.001,72.946,73.719,78.482,85.905,100,99.463,97.369,100.295,101.195,103.33,100.346,103.317,80.304
HTI,30.229,34.133,36.877,43.64,52.055,57.937,63.625,68.38,76.118,82.592,88.03,92.461,100,106.409,108.634,116.852,131.924,145.238,159.916,187.794,230.884
HND,100,108.084,113.631,120.176,127.93,137.242,144.583,154.162,166.171,178.89,187.255,201.875,209.101,211.974,226.493,242.196,251.104,262.436,267.443,279.05,290.936
HKG,88.676,87.103,84.139,79.084,76.245,76.13,75.723,78.099,79.1,78.803,79.016,82.096,85.006,86.547,89.014,92.257,93.768,96.472,100,102.356,103.158
HUN,52.093,57.848,62.529,65.933,69.289,71.109,73.71,77.721,81.443,84.857,87.001,88.678,91.241,93.819,97.296,100,101.352,105.394,110.473,115.792,122.071
ISL,45.353,49.301,52.196,52.452,53.856,55.507,60.29,62.902,70.535,78.156,83.134,85.709,88.658,90.541,94.291,100,102.261,103.219,105.964,110.769,114.586
IND,54.971,56.674,58.721,60.945,64.478,67.21,71.527,75.644,82.199,87.183,95.015,100,107.934,114.612,118.43,121.13,125.052,130.016,134.875,139.684,146.069
IDN,37.247,42.571,45.081,47.555,51.621,59.02,67.334,74.915,87.863,93.162,100,107.466,111.5,117.037,123.408,128.32,131.449,137.092,142.327,144.602,143.942
IRN,16.249,18.169,23.624,26.482,32.981,39.632,45.411,55.828,66.671,69.737,80.813,100,124.016,168.125,186.347,187.147,190.155,213.447,283.668,388.371,519.532
IRQ,117.701,92.209,101.638,45.166,52.271,71.012,87.383,100,130.175,104.763,122.14,152.296,156.362,156.345,155.207,114.588,95.056,113.025,126.435,124.097,108.559
IRL,73.937,78.859,83.04,85.617,86.585,89.08,92.155,93.309,92.976,88.706,86.324,87.46,89.719,90.519,90.554,97.625,98.326,99.345,99.846,102.48,103.113
ISR,75.019,76.347,79.804,79.541,79.63,80.554,81.717,82.528,84.37,87.864,89.253,91.005,94.236,96.283,97.236,100,101.032,101.188,102.458,104.749,105.72
ITA,74.776,77.045,79.567,82.072,84.263,85.958,87.784,89.96,92.12,93.666,94.075,95.587,97.066,98.18,99.077,100,101.134,101.869,102.951,103.779,105.02
JAM,56.908,61.39,67.846,75.733,85.47,95.273,103.703,115.429,131.074,144.937,159.12,168.849,179.741,195.439,209.223,223.263,233.393,249.465,262.082,270.214,281.793
JPN,110.941,109.737,108.211,106.471,105.273,104.016,103.12,102.392,101.459,100.881,98.984,97.378,96.642,96.3,97.923,99.991,100.411,100.336,100.341,100.984,101.913
JOR,47.063,47.616,47.513,48.649,50.361,51.244,56.294,59.234,71.194,73.445,79.378,84.069,87.942,93.345,96.561,98.656,100,101.677,103.419,105.147,104.653
KAZ,56.094,61.791,65.377,73.051,84.836,100,121.552,140.425,169.825,177.792,212.537,256.198,268.458,293.959,310.925,316.594,359.773,400.108,436.94,470.293,472.55
KEN,52.373,53.418,54.121,57.672,61.805,64.894,71.941,77.79,89.576,100,102.094,113.111,123.721,130.116,140.614,154.71,163.298,181.166,185.555,192.905,208.703
KIR,85.812,91.068,95.549,98.071,99.745,100.256,100,106.149,114.977,115.173,116.53,118.718,118.249,118.409,123.981,128.3,128.52,129.761,137.081,139.912,143.336
KOR,72.119,74.628,76.892,79.544,82.032,82.887,82.702,84.702,87.096,90.239,92.71,93.898,95.073,96.042,96.913,100,101.986,104.253,104.756,103.79,105.09
UVK,71.188,79.304,80.736,79.404,75.947,75.412,75.784,77.608,83.33,84.308,88.272,92.496,94.532,96.226,99.363,99.56,100,101.379,102.406,103.065,105.332
KWT,54.732,50.489,53.103,55.678,61.759,75.575,87.788,91.569,108.659,90.006,100,117.227,126.005,126.285,117.753,87.186,81.224,94.405,108.179,103.658,91.249
KGZ,77.999,83.718,85.414,88.809,93.346,100,109.392,125.665,154.776,161.022,177.178,217.011,235.796,243.283,263.756,272.796,289.302,307.606,319.129,316.562,335.341
LAO,40.347,45.43,50.244,56.828,62.9,68.092,76.389,81.43,85.95,84.423,88.437,95.06,100,106.474,112.571,115.215,118.697,120.899,123.217,126.202,134.035
LVA,48.283,49.39,51.901,54.463,58.168,64.663,72.705,87.298,97.446,87.967,87.599,93.182,96.535,98.116,99.997,100,100.861,103.857,107.912,110.408,110.466
LBN,76.96,75.561,79.292,80.651,81.468,80.581,81.29,83.837,90.153,99.425,100,102.965,110.748,113.643,113.81,117.828,118.994,122.45,129.133,132.389,212.996
LSO,43.928,48.353,53.149,54.464,57.897,61.591,66.405,74.166,83.439,86.08,91.614,98.424,102.605,114.199,129.04,138.763,139.681,140.939,148.369,155.663,162.925
LBR,42.235,43.187,43.092,45.803,55.234,55.186,59.649,63.948,75.05,75.277,78.935,86.996,91.599,95.883,96.624,96.54,103.548,103.429,100,96.28,98.242
LBY,33.468,35.873,45.648,52.2,64.004,82.29,90.076,100,129.437,94.058,125.066,168.158,192.242,199.581,198.712,175.974,206.059,203.927,237.248,201.513,273.749
LTU,65.899,65.687,65.897,65.361,67.114,71.735,76.567,83.117,91.186,88.181,90.415,95.252,97.857,99.11,99.936,100,101.576,105.886,109.623,112.7,113.628
LUX,74.96,75.302,76.568,78.622,80.945,84.341,90.275,91.621,95.179,96.509,100,104.774,107.452,109.274,112.263,112.471,113.338,115.283,118.179,122.187,125.035
MAC,,45.975,45.359,45.382,46.26,48.837,52.619,57.229,62.993,63.575,66.621,71.61,76.567,82.487,89.689,93.737,94.545,96.578,100,102.398,102.35
MDG,49.109,52.997,61.741,60.689,69.159,81.859,90.672,100,107.486,114.934,126.679,139.836,147.48,155.521,165.99,176.785,192.626,202.183,222.369,240.085,250.14
MWI,27.611,34.254,42.12,46.478,53.378,59.112,70.915,73.822,82.655,89.184,100,114.076,134.217,170.859,206.541,249.72,301.025,333.965,360.029,388.808,421.902
MYS,66.816,65.759,67.816,70.054,74.264,78.015,81.121,85.081,93.919,88.292,91.614,96.573,97.538,97.709,100.12,100,101.658,105.5,106.21,106.278,105.45
MDV,39.886,40.144,40.84,41.373,45.499,49.666,53.325,58.72,65.209,72.569,74.659,84.092,89.791,95.565,100,107.93,108.173,109.676,113.095,112.475,110.682
MLI,99.38,104.03,107.684,99.506,103.087,110.82,115.97,121.253,130.075,136.271,142.085,159.353,166.691,167.779,169.913,174.807,177.169,180.592,183.228,187.038,190.779
MLT,68.723,71.759,73.715,75.094,76.681,78.167,79.855,81.679,84.317,86.021,88.744,89.742,91.668,93.754,95.951,100,101.616,104.026,106.374,108.836,109.834
MHL,74.548,74.413,77.441,78.153,79.298,79.859,82.899,84.058,91.913,88.328,88.546,95.688,102.566,101.078,100.637,100,108.075,110.06,111.681,113.293,114.539
MRT,36.566,38.697,41.295,43.147,47.866,54.848,62.577,68.143,75.446,75.175,91.971,108.11,108.603,113.477,100,95.206,105.879,109.76,111.745,122.455,132.056
MUS,70.508,74.999,79.654,84.087,89.869,93.717,100,108.308,114.467,113.718,114.999,118.635,121.56,124.904,126.753,127.971,130.719,132.415,134.331,135.031,140.191
MEX,51.757,54.884,57.904,60.243,65.04,68.86,73.26,77.501,82.284,85.533,89.42,94.645,98.493,100,104.44,107.401,113.421,121.034,127.015,132.053,136.133
FSM,98.17,99.328,99.353,98.959,100,102.088,103.539,106.938,112.045,118.154,122.412,124.365,133.223,134.071,138.125,130.873,136.171,146.344,160.081,162.49,163.277
MDA,286.103,314.312,345.201,396.517,428.185,468.197,531.027,615.496,672.395,686.987,915.787,990.797,"1,064.36","1,106.12","1,176.38","1,288.90","1,362.03","1,447.16","1,478.09","1,577.82","1,617.26"
MNG,26.939,29.321,31.012,34.029,40.002,41.551,50.87,57.565,70.613,72.491,100,115.119,129.837,133.612,143.565,146.053,149.308,165.029,178.911,195.695,204.938
MNE,60.109,73.041,74.958,80.951,86.964,90.899,100,116.053,124.933,127.948,130.044,131.644,131.877,134.603,135.998,139.016,146.108,151.696,156.59,159.772,159.736
MAR,90.148,90.736,91.833,92.809,93.94,95.058,96.53,100,104.53,104.684,105.705,104.975,105.363,106.74,107.143,109.424,111.047,111.759,112.976,114.488,115.467
MOZ,43.606,50.582,56.043,58.548,62.502,67.137,72.456,77.946,82.423,83.081,89.712,92.734,95.948,98.804,100,107.586,122.299,131.643,135.594,141.629,147.011
MMR,15.148,17.326,23.699,30.448,33.239,37.232,44.815,54.941,64.573,70.33,74.991,82.145,88.784,92.114,94.977,98.913,100,105.373,111.111,118.073,125.128
NAM,100,109.944,119.571,121.671,130.537,134.931,151.874,167.028,185.248,198.146,205.209,213.017,240.458,250.172,270.773,281.237,303.648,333.767,348.315,354.595,366.875
NRU,,,,,137.407,128.523,110.495,106.329,126.26,165.77,134.676,150.876,193.486,150.257,140.734,124.03,158.684,177.504,184.856,189.625,193.75
NPL,45.611,46.797,48.638,50.132,52.22,55.416,59.495,64.018,67.616,78.372,90.244,100,107.741,115.372,124.643,130.138,139.444,150.964,157.539,164.933,171.776
NLD,77.835,81.092,84.15,85.974,87.011,88.745,91.017,92.904,95.045,95.256,96.153,96.34,97.735,98.982,99.232,100,100.455,101.721,104.2,107.282,109.68
NZL,77.793,80.911,81.789,83.144,85.696,87.285,89.136,93.446,96.788,99.302,102.37,105.325,105.213,108.595,110.595,111.452,113.7,118.033,120.531,123.915,129.003
NIC,66.123,70.912,73.215,77.118,84.098,92.396,100,109.674,127.44,135.133,143.427,158.078,167.948,175.252,189.96,204.376,213.756,222.571,230.566,241.329,250.27
NER,59.364,62.36,63.967,63.813,64.053,69.574,70.626,75.604,83.285,86.748,89.784,93.401,98.345,98.019,97.48,99.994,101.347,102.208,104.69,104.819,107.792
NGA,29.118,32.192,39.134,41.948,49.46,59.426,71.664,76.872,85.103,88.827,100,109.51,119.663,126.691,132.598,136.396,149.413,166.026,183.008,202.013,217.869
MKD,88.868,93.061,93.94,95.491,95.333,100,103.252,107.995,113.925,114.261,116.594,120.933,122.146,127.622,129.469,132.063,136.639,140.474,145.99,147.61,148.918
NOR,56.5,57.445,56.508,58.127,61.519,66.904,72.767,74.918,82.714,78.402,83.081,88.661,91.625,93.966,94.239,91.549,90.199,93.763,100,99.562,95.833
OMN,46.001,43.902,45.967,50.722,57.32,70.197,79.764,86.357,115.502,86.479,100,116.245,120.014,117.419,119.14,96.767,87.647,94.171,105.462,101.731,89.946
PAK,72.928,78.694,80.721,84.4,90.844,96.075,106.485,113.469,124.431,153.843,168.916,200.392,211.679,227.982,246.341,258.126,261.547,272.912,280.424,301.842,332.967
PLW,63.821,64.309,64.57,62.976,64.438,69.32,71.321,72.698,78.19,77.009,76.926,77.119,82.986,89.434,91.796,100,106.904,105.678,99.095,99.146,100.138
PAN,88.215,89.137,90.611,91.618,93.43,95.073,97.064,100,107.527,114.486,117.451,124.315,131.992,139.258,145.104,148.701,151.678,154.3,155.467,155.202,149.929
PNG,48.934,52.318,58.31,61.206,62.959,67.948,74.337,76.415,85.329,81.165,89.215,97.095,96.537,100,105.437,104.142,106.761,114.982,126.247,126.324,127.532
PRY,28.998,33.039,38.97,44.872,50.182,56.682,61.702,69.498,77.973,80.891,84.605,88.912,93.163,97.272,100,101.605,105.795,108.07,110.429,113.594,116.966
PER,79.143,80.05,80.477,82.907,87.555,89.298,97.188,100,102.066,103.763,110.031,115.691,117.957,119.646,122.878,126.247,130.638,135.687,138.375,140.835,146.574
PHL,52.933,55.907,58.272,60.133,63.675,67.439,70.886,73.129,78.379,80.525,84.045,87.338,89.08,90.916,93.692,93.017,94.208,96.394,100,100.764,102.568
POL,69.861,72.292,74.102,74.677,78.349,80.354,81.743,84.781,88.083,91.417,92.926,95.966,98.232,98.521,99.035,100,100.312,102.177,103.405,106.661,111.054
PRT,72.427,75.118,78.266,80.948,82.89,85.653,88.381,91.002,92.584,93.6,94.202,93.952,93.587,95.692,96.366,98.312,100,101.512,103.352,105.15,107.806
PRI,620.405,639.925,652.2,666.163,691.843,737.438,777.946,807.367,860.347,903.214,925.741,947.68,958.855,970.189,981.836,"1,001.25","1,023.49","1,044.91","1,069.91","1,099.25","1,084.95"
QAT,48.643,45.037,46.563,54.926,59.542,80.441,82.492,90.459,114.11,79.037,91.108,114.725,121.987,122.924,121.101,90.669,82.53,88.957,100,95.173,81.197
ROU,19.777,27.284,33.481,41.233,47.607,53.323,58.979,68.307,79.247,82.485,85.449,88.67,92.013,95.138,96.847,100,102.447,107.241,113.875,121.594,125.451
RUS,16.129,18.789,21.723,24.679,29.684,35.415,40.787,46.417,54.754,55.846,63.769,73.533,80.084,84.344,90.662,97.234,100,105.35,115.883,119.408,120.255
RWA,30.219,30.573,29.013,35.363,39.973,43.636,50.971,57.552,65.917,70.624,72.895,78.15,81.865,84.042,88.024,88.485,92.931,100,99.246,99.628,107.894
WSM,65.703,67.915,68.921,70.677,75.676,78.699,82.85,89.054,97.176,98.806,94.552,94.944,98.403,99.348,99.191,103.402,104.628,104.571,106.687,109.003,109.365
SMR,89.471,91.946,94.101,96.415,98.331,100.007,102.002,100,102.696,103.48,105.354,105.746,109.255,111.433,111.803,110.578,112.034,113.972,116.281,116.991,118.374
STP,33.562,33.899,37.945,43.811,48.881,58.288,67.101,76.652,100,107.57,120.993,130.405,148.152,164.035,177.495,186.578,196.097,199.974,205.171,216.904,225.58
SAU,49.974,49.152,52.079,53.286,59.177,71.101,79.33,86.021,101.238,85.331,100,115.529,120.168,118.707,116.012,96.396,93.46,100.531,112.1,112.645,103.959
SEN,69.861,74.747,76.171,75.468,75.366,78.924,81.202,86.552,93.663,92.081,93.559,97.168,100.349,101.539,100,101.07,102.036,102.647,101.785,103.683,105.815
SRB,16.346,30.934,36.515,41.112,44.848,51.805,58.206,63.271,69.019,74.463,78.729,85.743,91.059,95.726,98.201,100,101.55,104.567,106.632,109.238,111.252
SYC,67.541,71.699,74.29,78.708,98.128,98.578,100,111.811,150.889,192.381,184.294,188.39,209.231,217.677,222.606,227.314,225.443,235.868,240.395,243.019,251.682
SLE,65.934,62.259,59.817,67.67,76.341,89.034,100.008,106.804,117.475,126.614,148.358,174.133,195.099,208.617,212.37,254.086,268.935,292.985,334.067,362.909,413.513
SGP,85.762,84.204,83.456,81.964,85.303,86.93,88.535,93.773,92.473,95.211,96.261,97.275,97.733,97.293,97.031,100,100.647,103.673,107.143,106.474,103.366
SVK,73.153,76.899,79.927,84.184,89.015,91.279,93.925,94.973,97.687,96.553,97.022,98.647,99.894,100.41,100.219,100,99.488,100.696,102.748,105.312,107.938
SVN,67.776,73.656,79.24,83.71,86.523,87.839,89.79,93.541,97.718,101.04,100,101.04,101.524,103.149,103.619,104.661,105.575,107.138,109.447,111.921,113.345
SLB,36.91,40.566,45.142,47.965,50.567,57.822,62.936,69.775,75.277,80.316,85.174,93.285,100,101.669,105.641,109.398,109.44,110.961,114.222,115.669,120.022
SOM,,,,,,,,,,,,92.664,94.495,100,99.486,98.229,98.994,104.859,106.797,108.703,109.807
ZAF,48.413,52.094,58.471,61.858,65.896,69.486,73.833,80.367,87.464,94.028,100,106.532,112.16,119.064,125.668,132.166,141.69,149.154,154.996,161.228,169.751
SSD,,,,,,,,,,,,158.849,214.965,220.506,220.509,257.375,924.694,"2,370.80","4,019.52","3,951.88","4,588.39"
ESP,74.017,77.055,80.205,83.359,86.599,90.147,93.733,96.938,99.122,99.27,99.418,99.398,99.282,99.679,99.459,100,100.327,101.627,102.835,104.26,105.358
